nom;prenom;email;disponibilite;distinction;moyenne;recrute
SIIS;JDDJ;OOW;0;1;77,6;0
JJJ;KKK;DJDD;0;0;77,7;0
Muyisa;Kavalami;muy@gmail.com;1;1;77,8;1
WWW;WWW;WWW;1;0;77,9;1
JDJJD;JSJSJ;KSKSK;0;1;78;0
SIIS;JDDJ;OOW;0;0;78,1;0
JJJ;KKK;DJDD;1;1;78,2;1
Muyisa;Kavalami;muy@gmail.com;1;0;78,3;1
WWW;WWW;WWW;0;1;78,4;0
JDJJD;JSJSJ;KSKSK;0;0;78,5;0
SIIS;JDDJ;OOW;1;1;78,6;1
JJJ;KKK;DJDD;1;0;78,7;1
Muyisa;Kavalami;muy@gmail.com;0;1;78,8;0
WWW;WWW;WWW;0;0;78,9;0
JDJJD;JSJSJ;KSKSK;1;1;79;1
SIIS;JDDJ;OOW;1;0;79,1;1
JJJ;KKK;DJDD;0;1;79,2;0
Muyisa;Kavalami;muy@gmail.com;0;0;79,3;0
WWW;WWW;WWW;1;1;79,4;1
JDJJD;JSJSJ;KSKSK;1;0;79,5;1
SIIS;JDDJ;OOW;0;1;79,6;0
JJJ;KKK;DJDD;0;0;79,7;0
Muyisa;Kavalami;muy@gmail.com;1;1;79,8;1
WWW;WWW;WWW;1;0;79,9;1
JDJJD;JSJSJ;KSKSK;0;1;80;0
SIIS;JDDJ;OOW;0;0;80,1;0
JJJ;KKK;DJDD;1;1;80,2;1
Muyisa;Kavalami;muy@gmail.com;1;0;80,3;1
WWW;WWW;WWW;0;1;80,4;0
JDJJD;JSJSJ;KSKSK;0;0;80,5;0
SIIS;JDDJ;OOW;1;1;80,6;1
JJJ;KKK;DJDD;1;0;80,7;1
Muyisa;Kavalami;muy@gmail.com;0;1;80,8;0
WWW;WWW;WWW;0;0;80,9;0
JDJJD;JSJSJ;KSKSK;1;1;81;1
SIIS;JDDJ;OOW;1;0;81,1;1
JJJ;KKK;DJDD;0;1;81,2;0
Muyisa;Kavalami;muy@gmail.com;0;0;81,3;0
WWW;WWW;WWW;1;1;81,4;1
JDJJD;JSJSJ;KSKSK;1;0;81,5;1
SIIS;JDDJ;OOW;0;1;81,6;0
JJJ;KKK;DJDD;0;0;81,7;0
SIIS;JDDJ;OOW;1;1;81,8;1
JJJ;KKK;DJDD;1;0;81,9;1
Muyisa;Kavalami;muy@gmail.com;0;1;82;0
WWW;WWW;WWW;0;0;82,1;0
JDJJD;JSJSJ;KSKSK;1;1;82,2;1
SIIS;JDDJ;OOW;1;0;82,3;1
JJJ;KKK;DJDD;0;1;82,4;0
Muyisa;Kavalami;muy@gmail.com;0;0;82,5;0
WWW;WWW;WWW;1;1;82,6;1
JDJJD;JSJSJ;KSKSK;1;0;82,7;1
SIIS;JDDJ;OOW;0;1;82,8;0
JJJ;KKK;DJDD;0;0;82,9;0
Muyisa;Kavalami;muy@gmail.com;1;1;83;1
WWW;WWW;WWW;1;0;83,1;1
JDJJD;JSJSJ;KSKSK;0;1;83,2;0
SIIS;JDDJ;OOW;0;0;83,3;0
JJJ;KKK;DJDD;1;1;83,4;1
Muyisa;Kavalami;muy@gmail.com;1;0;83,5;1
WWW;WWW;WWW;0;1;83,6;0
JDJJD;JSJSJ;KSKSK;0;0;83,7;0
SIIS;JDDJ;OOW;1;1;83,8;1
JJJ;KKK;DJDD;1;0;83,9;1
Muyisa;Kavalami;muy@gmail.com;0;1;84;0
WWW;WWW;WWW;0;0;84,1;0
JDJJD;JSJSJ;KSKSK;1;1;84,2;1
SIIS;JDDJ;OOW;1;0;84,3;1
JJJ;KKK;DJDD;0;1;84,4;0
Muyisa;Kavalami;muy@gmail.com;0;0;84,5;0
WWW;WWW;WWW;1;1;84,6;1
JDJJD;JSJSJ;KSKSK;1;0;84,7;1
SIIS;JDDJ;OOW;0;1;84,8;0
JJJ;KKK;DJDD;0;0;84,9;0
Muyisa;Kavalami;muy@gmail.com;1;1;85;1
WWW;WWW;WWW;1;0;85,1;1
JDJJD;JSJSJ;KSKSK;0;1;85,2;0
SIIS;JDDJ;OOW;0;0;85,3;0
JJJ;KKK;DJDD;1;1;85,4;1
Muyisa;Kavalami;muy@gmail.com;1;0;85,5;1
WWW;WWW;WWW;0;1;85,6;0
JDJJD;JSJSJ;KSKSK;0;0;85,7;0
SIIS;JDDJ;OOW;1;1;85,8;1
JJJ;KKK;DJDD;1;0;85,9;1
Muyisa;Kavalami;muy@gmail.com;0;1;86;0
WWW;WWW;WWW;0;0;86,1;0
JDJJD;JSJSJ;KSKSK;1;1;86,2;1
SIIS;JDDJ;OOW;1;0;86,3;1
JJJ;KKK;DJDD;0;1;86,4;0
Muyisa;Kavalami;muy@gmail.com;0;0;86,5;0
WWW;WWW;WWW;1;1;86,6;1
JDJJD;JSJSJ;KSKSK;1;0;86,7;1
SIIS;JDDJ;OOW;0;1;86,8;0
JJJ;KKK;DJDD;0;0;86,9;0
Muyisa;Kavalami;muy@gmail.com;1;1;87;1
WWW;WWW;WWW;1;0;87,1;1
JDJJD;JSJSJ;KSKSK;0;1;87,2;0
SIIS;JDDJ;OOW;0;0;87,3;0
JJJ;KKK;DJDD;1;1;87,4;1
Muyisa;Kavalami;muy@gmail.com;1;0;87,5;1
WWW;WWW;WWW;0;1;87,6;0
JDJJD;JSJSJ;KSKSK;0;0;87,7;0
SIIS;JDDJ;OOW;1;1;87,8;1
JJJ;KKK;DJDD;1;0;87,9;1
Muyisa;Kavalami;muy@gmail.com;0;1;88;0
WWW;WWW;WWW;0;0;88,1;0
JDJJD;JSJSJ;KSKSK;1;1;88,2;1
SIIS;JDDJ;OOW;1;0;88,3;1
JJJ;KKK;DJDD;0;1;88,4;0
Muyisa;Kavalami;muy@gmail.com;0;0;88,5;0
WWW;WWW;WWW;1;1;88,6;1
JDJJD;JSJSJ;KSKSK;1;0;88,7;1
SIIS;JDDJ;OOW;0;1;88,8;0
JJJ;KKK;DJDD;0;0;88,9;0
Muyisa;Kavalami;muy@gmail.com;1;1;89;1
WWW;WWW;WWW;1;0;89,1;1
JDJJD;JSJSJ;KSKSK;0;1;89,2;0
SIIS;JDDJ;OOW;0;0;89,3;0
JJJ;KKK;DJDD;1;1;89,4;1
Muyisa;Kavalami;muy@gmail.com;1;0;89,5;1
WWW;WWW;WWW;0;1;89,6;0
JDJJD;JSJSJ;KSKSK;0;0;89,7;0
SIIS;JDDJ;OOW;1;1;89,8;1
JJJ;KKK;DJDD;1;0;89,9;1
Muyisa;Kavalami;muy@gmail.com;0;1;90;0
WWW;WWW;WWW;0;0;90,1;0
JDJJD;JSJSJ;KSKSK;1;1;90,2;1
SIIS;JDDJ;OOW;1;0;90,3;1
JJJ;KKK;DJDD;0;1;90,4;0
Muyisa;Kavalami;muy@gmail.com;0;0;90,5;0
WWW;WWW;WWW;1;1;90,6;1
JDJJD;JSJSJ;KSKSK;1;0;90,7;1
SIIS;JDDJ;OOW;0;1;90,8;0
JJJ;KKK;DJDD;0;0;90,9;0
Muyisa;Kavalami;muy@gmail.com;1;1;91;1
WWW;WWW;WWW;1;0;91,1;1
JDJJD;JSJSJ;KSKSK;0;1;91,2;0
SIIS;JDDJ;OOW;0;0;91,3;0
JJJ;KKK;DJDD;1;1;91,4;1
Muyisa;Kavalami;muy@gmail.com;1;0;91,5;1
WWW;WWW;WWW;0;1;91,6;0
JDJJD;JSJSJ;KSKSK;0;0;91,7;0
SIIS;JDDJ;OOW;1;1;91,8;1
JJJ;KKK;DJDD;1;0;91,9;1
Muyisa;Kavalami;muy@gmail.com;0;1;92;0
WWW;WWW;WWW;0;0;92,1;0
JDJJD;JSJSJ;KSKSK;1;1;92,2;1
SIIS;JDDJ;OOW;1;0;92,3;1
JJJ;KKK;DJDD;0;1;92,4;0
Muyisa;Kavalami;muy@gmail.com;0;0;92,5;0
WWW;WWW;WWW;1;1;92,6;1
JDJJD;JSJSJ;KSKSK;1;0;92,7;1
SIIS;JDDJ;OOW;0;1;92,8;0
JJJ;KKK;DJDD;0;0;92,9;0
Muyisa;Kavalami;muy@gmail.com;1;1;93;1
WWW;WWW;WWW;1;0;93,1;1
JDJJD;JSJSJ;KSKSK;0;1;93,2;0
SIIS;JDDJ;OOW;0;0;93,3;0
JJJ;KKK;DJDD;1;1;93,4;1
Muyisa;Kavalami;muy@gmail.com;1;0;93,5;1
WWW;WWW;WWW;0;1;93,6;0
JDJJD;JSJSJ;KSKSK;0;0;93,7;0
SIIS;JDDJ;OOW;1;1;93,8;1
JJJ;KKK;DJDD;1;0;93,9;1
Muyisa;Kavalami;muy@gmail.com;0;1;94;0
WWW;WWW;WWW;0;0;94,1;0
JDJJD;JSJSJ;KSKSK;1;1;94,2;1
SIIS;JDDJ;OOW;1;0;94,3;1
JJJ;KKK;DJDD;0;1;94,4;0
Muyisa;Kavalami;muy@gmail.com;0;0;94,5;0
WWW;WWW;WWW;1;1;94,6;1
JDJJD;JSJSJ;KSKSK;1;0;94,7;1
SIIS;JDDJ;OOW;0;1;94,8;0
JJJ;KKK;DJDD;0;0;94,9;0
Muyisa;Kavalami;muy@gmail.com;1;1;95;1
WWW;WWW;WWW;1;0;95,1;1
JDJJD;JSJSJ;KSKSK;0;1;95,2;0
SIIS;JDDJ;OOW;0;0;95,3;0
JJJ;KKK;DJDD;1;1;95,4;1
Muyisa;Kavalami;muy@gmail.com;1;0;95,5;1
WWW;WWW;WWW;0;1;95,6;0
JDJJD;JSJSJ;KSKSK;0;0;95,7;0
SIIS;JDDJ;OOW;1;1;95,8;1
JJJ;KKK;DJDD;1;0;95,9;1
Muyisa;Kavalami;muy@gmail.com;0;1;96;0
WWW;WWW;WWW;0;0;96,1;0
JDJJD;JSJSJ;KSKSK;1;1;96,2;1
SIIS;JDDJ;OOW;1;0;96,3;1
JJJ;KKK;DJDD;0;1;96,4;0
Muyisa;Kavalami;muy@gmail.com;0;0;96,5;0
WWW;WWW;WWW;1;1;96,6;1
JDJJD;JSJSJ;KSKSK;1;0;96,7;1
SIIS;JDDJ;OOW;0;1;96,8;0
JJJ;KKK;DJDD;0;0;96,9;0
SIIS;JDDJ;OOW;1;1;97;1
JJJ;KKK;DJDD;1;0;97,1;1
Muyisa;Kavalami;muy@gmail.com;0;1;97,2;0
WWW;WWW;WWW;0;0;97,3;0
JDJJD;JSJSJ;KSKSK;1;1;97,4;1
SIIS;JDDJ;OOW;1;0;97,5;1
JJJ;KKK;DJDD;0;1;97,6;0
Muyisa;Kavalami;muy@gmail.com;0;0;97,7;0
WWW;WWW;WWW;1;1;97,8;1
JDJJD;JSJSJ;KSKSK;1;0;97,9;1
SIIS;JDDJ;OOW;0;1;98;0
JJJ;KKK;DJDD;0;0;98,1;0
Muyisa;Kavalami;muy@gmail.com;1;1;98,2;1
WWW;WWW;WWW;1;0;98,3;1
JDJJD;JSJSJ;KSKSK;0;1;98,4;0
SIIS;JDDJ;OOW;0;0;98,5;0
JJJ;KKK;DJDD;1;1;98,6;1
Muyisa;Kavalami;muy@gmail.com;1;0;98,7;1
WWW;WWW;WWW;0;1;98,8;0
JDJJD;JSJSJ;KSKSK;0;0;98,9;0
SIIS;JDDJ;OOW;1;1;99;1
JJJ;KKK;DJDD;1;0;99,1;1
Muyisa;Kavalami;muy@gmail.com;0;1;99,2;0
WWW;WWW;WWW;0;0;99,3;0
JDJJD;JSJSJ;KSKSK;1;1;99,4;1
SIIS;JDDJ;OOW;1;0;99,5;1
JJJ;KKK;DJDD;0;1;99,6;0
Muyisa;Kavalami;muy@gmail.com;0;0;99,7;0
WWW;WWW;WWW;1;1;99,8;1
JDJJD;JSJSJ;KSKSK;1;0;99,9;1
SIIS;JDDJ;OOW;0;1;100;0

